PC=00000040, SP=00000FDB, A=00000002, B=00000002
PC=00000041, SP=00000FDC, A=00000002, B=00000002
PC=00000042, SP=00000FDC, A=00000001, B=00000002
PC=00000043, SP=00000FDC, A=00000003, B=00000002
PC=00000044, SP=00000FDC, A=00000040, B=00000003
PC=00000045, SP=00000FDF, A=00000040, B=00000003
PC=00000040, SP=00000FDF, A=00000003, B=00000003
PC=00000041, SP=00000FE0, A=00000003, B=00000003
PC=00000042, SP=00000FE0, A=00000001, B=00000003
PC=00000043, SP=00000FE0, A=00000004, B=00000003
PC=00000044, SP=00000FE0, A=00000040, B=00000004
PC=00000045, SP=00000FE3, A=00000040, B=00000004
PC=00000040, SP=00000FE3, A=00000004, B=00000004
PC=00000041, SP=00000FE4, A=00000004, B=00000004
PC=00000042, SP=00000FE4, A=00000001, B=00000004
PC=00000043, SP=00000FE4, A=00000005, B=00000004
PC=00000044, SP=00000FE4, A=00000040, B=00000005
PC=00000045, SP=00000FE7, A=00000040, B=00000005
PC=00000040, SP=00000FE7, A=00000005, B=00000005
PC=00000041, SP=00000FE8, A=00000005, B=00000005
PC=00000042, SP=00000FE8, A=00000001, B=00000005
PC=00000043, SP=00000FE8, A=00000006, B=00000005
PC=00000044, SP=00000FE8, A=00000040, B=00000006
PC=00000045, SP=00000FEB, A=00000040, B=00000006
PC=00000040, SP=00000FEB, A=00000006, B=00000006
PC=00000041, SP=00000FEC, A=00000006, B=00000006
PC=00000042, SP=00000FEC, A=00000001, B=00000006
PC=00000043, SP=00000FEC, A=00000007, B=00000006
PC=00000044, SP=00000FEC, A=00000040, B=00000007
PC=00000045, SP=00000FEF, A=00000040, B=00000007
PC=00000040, SP=00000FEF, A=00000007, B=00000007
PC=00000041, SP=00000FF0, A=00000007, B=00000007
PC=00000042, SP=00000FF0, A=00000001, B=00000007
PC=00000043, SP=00000FF0, A=00000008, B=00000007
PC=00000044, SP=00000FF0, A=00000040, B=00000008
PC=00000045, SP=00000FF3, A=00000040, B=00000008
PC=00000040, SP=00000FF3, A=00000008, B=00000008
PC=00000041, SP=00000FF4, A=00000008, B=00000008
PC=00000042, SP=00000FF4, A=00000001, B=00000008
PC=00000043, SP=00000FF4, A=00000009, B=00000008
PC=00000044, SP=00000FF4, A=00000040, B=00000009
PC=00000045, SP=00000FF7, A=00000040, B=00000009
PC=00000040, SP=00000FF7, A=00000009, B=00000009
PC=00000041, SP=00000FF8, A=00000009, B=00000009
PC=00000042, SP=00000FF8, A=00000001, B=00000009
PC=00000043, SP=00000FF8, A=0000000A, B=00000009
PC=00000044, SP=00000FF8, A=00000014, B=0000000A
PC=00000045, SP=00000FFB, A=00000014, B=0000000A
PC=00000014, SP=00000FFB, A=0000000A, B=0000000A
PC=00000015, SP=00000FFC, A=0000000A, B=0000000A
PC=00000016, SP=00000FFC, A=0000004C, B=0000000A
PC=00000017, SP=00000FFC, A=0000004C, B=0000000A
PC=00000018, SP=00000FFC, A=0000004C, B=0000004C
PC=00000019, SP=00000FFC, A=0000004D, B=0000004C
PC=0000001A, SP=00000FFC, A=0000004C, B=0000004C
PC=0000001B, SP=00000FFC, A=00000001, B=0000004C
PC=0000001C, SP=00000FFC, A=00000002, B=0000004C
PC=0000001D, SP=00000FFC, A=0000004C, B=0000004C
